timeStamp,HeartRate Value
374,168
391,669
410,418
424,494
441,285
457,0
474,207
493,525
508,332
526,115
540,358
557,444
573,171
591,350
608,358
628,322
642,41
656,371
673,473
691,332
708,380
725,669
743,669
759,654
773,447
793,462
807,318
, 
842,669
857,418
876,494
891,285
908,0
926,207
941,525
957,332
973,115
991,358
1010,444
1024,171
1040,350
1057,358
1073,322
1092,41
1107,371
1123,473
1141,332
1158,380
1175,669
1192,669
1207,654
1225,447
1241,462
1257,318
1875,274
1976,274
2073,232
2175,309
2274,34
2374,466
2474,566
2591,284
2692,286
2793,275
2891,316
2991,332
3091,365
3192,434
3292,481
3393,275
3491,302
3591,311
3692,345
3791,318
3907,371
3993,432
4109,372
4210,278
4308,306
4410,303
4509,313
4607,328
4709,333
4808,447
4908,516
5008,289
5123,313
5209,290
5324,308
5425,324
5525,455
5624,428
5723,517
5824,284
5926,285
6024,303
6124,316
6223,303
6340,320
6443,11
6541,418
6643,551
6742,294
6844,279
6942,285
7041,309
7140,312
7240,334
7343,0
7442,428
7559,566
7644,308
7761,305
7859,304
7957,318
8058,312
8158,324
8260,385
8359,417
8460,480
8557,331
8658,265
8777,298
8875,308
8975,325
9077,341
9175,338
9275,315
9377,433
9476,529
9574,282
9675,307
9776,289
9876,305
9992,322
10076,332
10192,418
10292,423
10392,533
10492,302
10592,283
10691,297
10792,308
10891,326
10991,346
11092,313
11192,393
11292,471
11408,396
11509,261
11610,301
11708,308
11809,321
11910,341
12011,302
12107,362
12208,446
12310,483
12410,297
12509,312
12608,306
12724,320
12825,332
12926,338
13026,335
13126,469
13226,553
13327,281
13426,296
13526,283
13625,297
13726,316
13843,320
13943,405
14043,469
14144,402
14244,266
14343,304
14442,294
14541,303
14643,328
14744,64
14844,416
14944,551
15058,284
15144,286
15242,297
15358,317
15459,296
15560,339
15658,193
15759,432
15859,563
15960,304
16061,314
16161,291
16261,305
16377,306
16475,331
16575,5
16677,299
16777,661
16878,312
16977,286
17074,276
17177,289
17276,311
17379,316
17476,440
17593,418
17694,492
17794,313
17894,269
17993,310
18094,321
18192,322
18294,314
18393,336
18492,46
18592,427
18693,572
18810,281
18912,278
19010,276
19111,296
19211,315
19308,330
19411,485
19510,418
19609,501
19708,331
19808,301
19908,295
20028,287
20110,316
20227,330
20325,462
20425,411
20528,506
20628,311
20727,251
20828,299
20927,317
21026,326
21126,348
21242,342
21327,390
21444,437
21543,480
21644,276
21743,301
21845,282
21944,307
22042,312
22146,326
22245,2
22345,436
22445,585
22544,299
22659,283
22759,284
22860,306
22961,313
23061,323
23161,426
23259,418
23361,544
23460,313
23561,291
23660,272
23761,299
23874,313
23978,330
24062,120
24177,416
24276,560
24376,297
24477,285
24576,296
24676,315
24775,316
24878,338
24977,0
25095,427
25192,566
25278,306
25394,293
25491,297
25594,308
25693,308
25795,332
25892,0
25996,440
26095,589
26192,300
26312,290
26409,266
26510,299
26612,308
26712,332
26808,138
26912,423
27011,555
27112,279
27210,275
27312,299
27410,311
27528,331
27625,336
27727,394
27828,417
27929,443
28028,285
28127,323
28228,294
28327,314
28428,338
28527,325
28626,405
28728,451
28842,406
28945,262
29045,298
29145,293
29243,306
29346,310
29443,315
29545,407
29644,494
29745,347
29845,248
29944,296
30060,304
30160,305
30261,323
30360,91
30462,419
30562,543
30659,279
30759,288
30862,286
30960,301
31059,315
31175,329
31278,323
31378,413
31478,501
31579,290
31677,297
31776,286
31877,303
31976,321
32079,338
32179,361
32277,442
32376,517
32496,286
32596,311
32694,285
32795,301
32892,318
32992,325
33093,315
33192,446
33294,562
33392,298
33493,299
33595,281
33696,290
33795,328
33909,332
34011,336
34112,436
34210,513
34309,271
34411,303
34509,301
34611,314
34711,334
34809,313
34913,403
35011,470
35126,379
35228,269
35329,310
35426,314
35529,321
35626,339
35726,464
35826,426
35927,491
36026,295
36126,243
36227,287
36346,310
36443,320
36547,339
36643,433
36746,425
36844,503
36944,323
37042,252
37146,298
37243,309
37345,307
37444,321
37560,457
37659,415
37762,531
37859,309
37960,296
38063,289
38161,296
38260,315
38360,335
38460,291
38562,408
38660,536
38779,304
38880,306
38977,287
39079,312
39177,327
39276,330
39376,355
39477,433
39578,523
39679,279
39780,307
39876,287
39980,305
40094,310
40193,340
40294,220
40394,465
40496,571
40596,277
40696,302
40796,285
40896,297
40993,292
41096,338
41210,148
41310,424
41412,561
41509,290
41610,264
41712,264
41811,311
41910,339
42010,344
42111,309
42210,431
42312,505
42413,277
42527,281
42613,294
42727,315
42827,327
42930,326
43030,305
43128,432
43226,551
43329,314
43427,305
43529,280
43627,298
43746,318
43828,342
43947,155
44045,437
44144,579
44246,286
44344,283
44446,279
44544,307
44646,324
44744,328
44844,267
44961,412
45060,545
45162,282
45261,280
45361,293
45461,313
45563,330
45661,305
45762,392
45861,442
45961,342
46081,271
46178,311
46262,295
46380,329
46477,325
46580,346
46679,407
46779,491
46879,340
46977,270
47078,298
47179,311
47280,323
47380,329
47494,301
47597,395
47694,464
47795,374
47894,252
47994,291
48098,309
48195,327
48294,335
48396,450
48496,387
48595,508
48695,327
48811,287
48914,315
49013,316
49111,316
49212,324
49311,317
49411,406
49514,473
49613,343
49710,271
49812,312
49912,301
50028,314
50128,334
50228,313
50329,424
50427,485
50529,345
50629,256
50728,284
50828,292
50927,314
51028,331
51129,121
51230,412
51345,537
51462,281
51545,300
51644,296
51744,314
51846,312
51944,336
52047,371
52145,439
52245,511
52344,282
52446,307
52561,288
52662,302
52763,328
52864,319
52962,402
53063,459
53161,383
53263,294
53363,314
53462,291
53561,308
53663,314
53779,300
53864,398
53979,477
54079,367
54178,260
54278,307
54378,309
54479,300
54579,325
54680,0
54779,438
54880,561
54996,290
55079,302
55197,296
55296,308
55396,305
55495,340
55595,0
55696,431
55795,563
55896,286
55995,299
56096,306
56213,335
56313,328
56412,326
56513,241
56612,426
56712,559
56813,288
56913,297
57011,292
57112,302
57212,305
57312,320
57412,2
57529,424
57629,558
57729,290
57829,294
57929,287
58030,303
58130,300
58230,346
58329,0
58431,431
58530,566
58629,297
58730,304
58845,307
58946,330
59046,305
59148,325
59245,0
59347,427
59448,568
59546,291
59648,285
59746,282
59846,294
59946,331
60063,331
60162,353
60264,449
60362,492
60463,275
60564,295
60665,299
60763,310
60863,320
60964,287
61066,399
61163,437
61280,327
61380,254
61481,0
61580,94
61682,636
61780,290
61882,468
61980,465
62079,419
62181,357
62181,357
62181,357
62181,357
62181,357
62181,357
62181,357
