timeStamp,HeartRate Value
366,365
386,576
400,323
416,330
435,332
451,226
1867,144
1967,325
2067,665
2168,121
2267,332
2369,358
2467,665
2568,667
2684,338
2785,347
2868,73
2986,297
3084,0
3184,454
3284,539
3384,281
3483,558
3584,196
3684,287
3786,174
3884,315
4001,545
4101,457
4201,432
4301,76
4400,282
4501,387
4600,439
4701,520
4801,0
4900,451
5001,642
5117,300
5220,459
5318,0
5418,332
5518,353
5618,406
5717,664
5818,111
5919,226
6017,433
6117,381
6218,369
6319,190
6434,123
6536,661
6635,546
6735,341
6835,231
6934,336
7034,533
7134,229
7234,540
7335,322
7434,375
7535,212
7650,380
7735,478
7851,164
7951,264
8051,94
8152,0
8251,668
8352,314
8451,532
8551,102
8651,397
8751,417
8868,437
8968,352
9068,489
9170,667
9268,96
9368,88
9467,265
9567,514
9668,530
9768,0
9869,370
9969,521
10070,361
10169,426
10285,461
10385,375
10485,58
10585,0
10685,282
10784,555
10884,351
10986,118
11086,449
11185,27
11286,305
11386,471
11501,385
11604,612
11702,345
11802,155
11903,429
12002,321
12101,155
12201,489
12302,464
12403,420
12502,216
12602,416
12719,351
12819,151
12918,312
13019,559
13119,665
13219,207
13319,184
13418,131
13519,330
13619,666
13719,207
13820,0
13918,530
14036,415
14135,195
14235,372
14336,142
14435,377
14536,295
14636,405
14735,427
14836,664
14936,294
15036,253
15137,356
15252,185
15352,355
15453,176
15553,0
15653,382
15753,577
15852,478
15953,151
16053,323
16153,52
16253,302
16353,414
16468,314
16570,666
16670,130
16769,384
16871,224
16970,218
17070,292
17169,260
17269,577
17369,406
17469,664
17570,207
17686,147
17770,334
17885,256
17986,267
18086,69
18186,373
18286,339
18386,534
18486,149
18586,223
18688,537
18786,235
18903,300
18987,273
19103,396
19203,505
19303,346
19404,275
19504,175
19603,231
19704,405
19802,464
19903,500
20003,572
20104,509
20203,275
20320,145
20419,202
20521,459
20620,480
20719,440
20820,331
20920,238
21020,515
21120,319
21219,278
21337,470
21420,246
21537,117
21636,243
21736,359
21837,456
21937,298
22037,668
22137,428
22236,513
22336,0
22436,428
22537,579
22636,464
22737,319
22837,86
22954,409
23053,0
23153,503
23254,174
23354,357
23453,666
23553,256
23652,388
23753,0
23854,468
23954,193
24070,353
24170,512
24270,402
24371,441
24470,116
24571,236
24671,404
24770,290
24871,659
24971,0
25071,81
25188,528
25287,342
25387,665
25487,253
25587,361
25687,328
25786,383
25887,631
25987,472
26088,549
26188,75
26288,528
26388,13
26504,136
26604,390
26704,197
26804,647
26905,214
27004,156
27104,626
27204,272
27304,212
27402,326
27505,265
27621,663
27720,190
27817,320
27922,297
28021,367
28121,558
28221,59
28321,200
28421,0
28521,632
28621,667
28721,245
28821,357
28922,83
29037,0
29138,665
29238,153
29338,144
29435,283
29536,647
29638,261
29738,555
29837,416
29938,334
30038,89
30137,316
30238,375
30355,540
30455,413
30555,475
30652,0
30754,450
30855,249
30954,633
31054,635
31155,269
31271,499
31353,225
31455,192
31571,190
31671,431
31771,266
31871,472
31971,275
